Produto,Preço,Fornecedor,Data
"Apple iPhone 16 Pro 128GB Titânio Preto 6,3"" 48MP iOS 5G",8549.1,Magazine Luiza,2025-05-15
"Apple iPhone 16 128GB Rosa 6,1"" 48MP iOS 5G",5309.1,Magazine Luiza,2025-05-15
"Apple iPhone 16e 128GB Branco 6,1"" 48MP iOS 5G",4166.04,Magazine Luiza,2025-05-15
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Preto",10118.9,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Natural",8578.91,Magazine Luiza,2025-05-15
"iPhone 16e Apple (256GB) Preto, Tela de 6,1"", 5G e Câmera de 48 MP",5475.94,Magazine Luiza,2025-05-15
"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio-Deserto",10228.9,Magazine Luiza,2025-05-15
Apple iPhone 16 Pro Max 1TB Titânio preto,16490.94,Magazine Luiza,2025-05-15
"iPhone 16 Pro Max Apple 512GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Branco",11218.9,Magazine Luiza,2025-05-15
Apple iPhone 14 256GB Meia-noite,6599.0,Magazine Luiza,2025-05-15
"iPhone 16 Pro Max Apple 512GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Preto",11218.9,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio-Deserto",8468.89,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 128GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Branco",8468.89,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio-Deserto",9018.9,Magazine Luiza,2025-05-15
Apple iPhone 16 512GB Ultramarino,8999.0,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Preto",9018.9,Magazine Luiza,2025-05-15
"iPhone 16 Plus Apple 128GB, Câmera Dupla de 48MP, Tela 6,7"", Rosa",7588.91,Magazine Luiza,2025-05-15
"Apple iPhone 16 Plus 128GB Rosa 6,7"" 48MP iOS 5G",6699.0,Magazine Luiza,2025-05-15
Apple iPhone 16 128GB Branco,6595.03,Magazine Luiza,2025-05-15
"iPhone 16e Apple (128GB) Branco, Tela de 6,1"", 5G e Câmera de 48 MP",5094.04,Magazine Luiza,2025-05-15
Apple iPhone 16 Pro 1TB Titânio Natural,13299.05,Magazine Luiza,2025-05-15
"iPhone 16 128GB 5G Branco Tela 6,1 Câmera 48MP Apple",6333.32,Magazine Luiza,2025-05-15
"iPhone 16 Plus Apple 256GB, Câmera Dupla de 48MP, Tela 6,7"", Preto",8248.9,Magazine Luiza,2025-05-15
"iPhone 16 Pro Max Apple 1TB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Natural",12428.89,Magazine Luiza,2025-05-15
Apple iPhone 14 512GB (PRODUCT)RED,7314.05,Magazine Luiza,2025-05-15
"iPhone 16 Plus Apple 128GB, Câmera Dupla de 48MP, Tela 6,7"", Ultramarino",7368.89,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Branco",9238.9,Magazine Luiza,2025-05-15
"iPhone 16 Apple 256GB, Câmera Dupla de 48MP, Tela 6.1"", Preto",7478.89,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 512GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio-Deserto",10668.91,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Natural",9018.9,Magazine Luiza,2025-05-15
Apple iPhone 16 Pro Max 512GB Titânio branco,14064.03,Magazine Luiza,2025-05-15
"iPhone 16 Plus Apple 128GB, Câmera Dupla de 48MP, Tela 6,7"", Preto",7698.91,Magazine Luiza,2025-05-15
Apple iPhone 16 512GB Branco,9119.05,Magazine Luiza,2025-05-15
Apple iPhone 16 128GB Preto,6789.03,Magazine Luiza,2025-05-15
"iPhone 16 Plus Apple 256GB, Câmera Dupla de 48MP, Tela 6,7"", Rosa",8468.89,Magazine Luiza,2025-05-15
Apple iPhone 16 128GB Rosa,6692.03,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 512GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Preto",10668.91,Magazine Luiza,2025-05-15
Apple iPhone 16 Pro 128GB Titânio Branco,10281.03,Magazine Luiza,2025-05-15
"iPhone 16 Apple 256GB, Câmera Dupla de 48MP, Tela 6.1"", Branco",7698.91,Magazine Luiza,2025-05-15
Apple iPhone 16 256GB Rosa,7599.05,Magazine Luiza,2025-05-15
"iPhone 16 Apple 128GB, Câmera Dupla de 48MP, Tela 6.1"", Ultramarino",6818.9,Magazine Luiza,2025-05-15
"iPhone 16 Pro Apple 512GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Branco",10668.91,Magazine Luiza,2025-05-15
